name,talent,opts
Glitter Swim Ring,100,
Glittery Bow Clips (2 pc),20,
Glittery Hair Ties,20,
GRIP N RIP Football,50,
Gullivers New Travels Coloring Book,30,
Hair Band (18 pc),20,
Hair Clips,10,
Hair Ties (10 pc),10,
Hand Sanitizer 1000mL,110,
Hand Sanitizer 500mL,70,
Headband Set,40,
Hollywood Mirror,90,
Hornet RC Helicopter,110,
HotWheels 5,50,
HotWheels 9,100,
Huntsman,130,
Hydra Car,200,
Ice Cream Cone Play Set,170,
Join4,40,
Jumbo Playing Cards,50,
Jump Rope,40,"Orange, Pink, Green"
Kerplunk,110,
Knitting Kit,50,
Legal Pad,10,"stripe, check"
Light Up Crystal Growing Kit,110,
Light Up Finger,10,
Listerine Mouth Wash (250mL),40,"Original, Cool Mint, Fresh Burst"
LOL Surprise Sticker Earring,10,
MagnaDoodle (magnetic drawing toy),30,
Magnetic Dry-Erase Board,60,
Magnetic Putty,40,
Maximum BOOM,50,
Mikasa Cup (BONE CHINA),50,
Mini Fan,30,"green, orange, pink, blue"
Mini Notepad (3in x 5in),10,"Pink, Blue"
Minnie Mouse Set,50,
Monopoly,130,
Mountain Rescue 8 Figures and Accessories,70,
MuShiMallow Putty,20,
My Bracelet Maker,40,
My Fun Fish (cleaning tank),60,
Mystery Matter,50,
NERF Bash Ball,90,
NERF Bullets,80,
NERF Football,130,
NERF Micro Shots,60,"Torbjorn, Tracer"
NERF Modulus IonFire,110,
NERF Nitro Double Clutch Inferno,170,
NERF Resembler Gear,130,"Captain America, Iron Man"
NERF Rival DVA,150,
NERF Rival McCree,200,
NERF Snapfire,40,
NERF Star Wars Edition,160,
NERF Super Soaker DartFire,160,
NERF Super Soaker Hydra,200,
NERF Super Soaker Soakzooka,150,
NERF Super Soaker WashOut,80,
Notebook,40,"Copper, Gold, White"
Notebook 160 pg,50,"Pink, Black"
Notebook Set (3 Notebooks),20,
Notepad,20,
Otto,100,
Paint Your Own Mini Tea Set,50,
Patient & Doctor Kit,160,
Paw Patrol,200,
Pencils,20,"Marvel Edition, Spider Man, Minnie Mouse, Disney Princess, Micky Mouse, Incredibles, LOL Surprise"
Permanent Fabric Markers,30,
Pie Face Sky High,110,
Pink Notebook,40,
Play Day KAOS 360 Slam Challenge,100,
PlayDoh (33 colors),100,
Player Basketball Size 7,110,
Police Brigade,100,
Pool Table,160,
Princess Lead Pencil (1.3mm),10,
Protect the Penguin Game,50,
Puffy Fluff Stuff,20,
Rainbow Dream Catcher,40,
RC Car Sandstorm,130,
RC Motorcycle,160,
RC Sport Racer,80,
RC Stunt Twister,110,
"Ready, Set, Pogo",200,
Robot Leader,130,
Rubber Tooth Brush Pack (7 pc),20,
Rummy-O,90,
Sand Jelly,40,
"Sand Wheel, Rake & Shovel",50,
Scented Candles,40,
Simply Art Water Color Starter Set,50,
Slick Tricks 16,50,
Slick Tricks Premium,80,
Small White Glass Cups,30,
Smile Bell,20,
Smore Fun Campfire Set,190,
SnapHand,20,
Soap and Toothbrush Case,20,
Splash Fun Mega Pack,50,
Splash Pool,200,
Splat Pets,20,
Spray Bottle Fan,40,
Spring,20,"Pink, Dark Blue, Light Blue"
StarWars Bladebuilders,90,
Stretch Sand Glitter,40,
Strong Strips Bandages (20 pc),10,
Sunscreen Lotion (SPF 50),50,
Super Slime,40,"Electric Blue, Neon Yellow"
Table Fooseball,150,
T-Ball Set,110,
TNMT Action Figure,50,
Toy Story 4 Little People,160,
Tru-Toy Brik-Kase,160,
Unicorn Bubble Wands (3 pc),40,
UV Reactive Putty,40,
Volley Set,50,
Walkie Talkie Army,110,
Walkie Talkie Phones,70,
Water Balloons,30,
Water Bomb Water Game,20,"Pink, Yellow, Orange, Green, Blue"
Water Colors Set,30,
Water Slide,110,
Weekly Planner,10,
Wind Up Fishing Game,20,
Yellow Walkie Talkies (2 Pack),50,
